RA,IAA,IEG,IPS,IDA,IPV,IAN,INDE,Fase,Pedra,Idade,Gênero,Atingiu PV,IPP,Escola,Ano,Tipo_Escola,Risco_Defasagem,delta_IDA,is_new
RA-1,8.3,4.1,5.6,4.0,7.278,5.0,5.783,7,Ametista,19.0,Feminino,Não,,,2022,Privada,1,0.0,1
RA-1,,,,,,10.0,,FASE 8,,,Feminino,,,,2023,Privada,0,0.0,0
RA-1,,0.0,,,,10.0,,8E,,21.0,Feminino,,,Universidade Santo Amaro (UNISA),2024,Privada,0,0.0,0
RA-10,8.3,5.2,5.0,4.1,7.056,5.0,5.784,7,,18.0,Feminino,Não,,,2022,Privada,1,0.0,1
RA-100,8.8,7.8,5.0,7.6,7.25,10.0,7.618,4,Ametista,13.0,Feminino,Não,,,2022,Privada,0,0.0,1
RA-1000,8.5,9.4,3.77,7.0,8.92,10.0,7.9162,ALFA,Ametista,8.0,Feminino,,6.25,,2023,Privada,0,0.0,1
RA-1000,9.002,9.5454545455,6.26,7.75,7.835,10.0,8.364790909100002,1N,Topázio,9.0,Feminino,,8.125,EE Helio Luiz Dobrochinski Prof,2024,Pública,0,0.75,0
RA-1001,9.0,9.1,7.52,7.8,9.17,5.0,8.1162,ALFA,Topázio,9.0,Feminino,,7.5,,2023,Privada,1,0.0,1
RA-1001,7.502,9.347826087,7.51,7.75,7.92,5.0,7.7964318841,1N,Ametista,10.0,Feminino,,7.916666667,EE Helio Luiz Dobrochinski Prof,2024,Pública,1,-0.04999999999999982,0
RA-1002,9.0,9.7,7.52,7.0,8.92,5.0,7.9012,ALFA,Ametista,9.0,Feminino,,6.25,,2023,Privada,1,0.0,1
RA-1002,9.002,7.833333333500001,7.51,9.25,8.25,5.0,7.967866666700001,ALFA,Ametista,10.0,Feminino,,7.5,EM Cecilia Cristina de Oliveira Rodrigues,2024,Privada,1,2.25,0
RA-1003,9.0,8.5,7.52,4.0,8.75,10.0,7.6522,ALFA,Ametista,8.0,Masculino,,7.5,,2023,Privada,0,0.0,1
RA-1003,8.002,8.6944444445,7.51,8.25,7.5,5.0,7.627588888900001,ALFA,Ametista,9.0,Masculino,,6.875,EM Maria Ignez Concelles Irma Ines,2024,Privada,1,4.25,0
RA-1004,9.0,9.6,7.52,7.9,7.42,10.0,8.3137,ALFA,Topázio,8.0,Feminino,,6.875,,2023,Privada,0,0.0,1
RA-1004,9.502,9.25,7.51,7.5,7.5,5.0,7.801200000000001,ALFA,Ametista,9.0,Feminino,,7.5,EM Pedro Antonio de Almeida,2024,Privada,1,-0.40000000000000036,0
RA-1005,9.5,7.9,7.52,8.8,8.165,10.0,8.4252,ALFA,Topázio,8.0,Masculino,,7.5,,2023,Privada,0,0.0,1
RA-1006,9.0,9.3,7.52,8.7,8.0,10.0,8.5922,ALFA,Topázio,8.0,Feminino,,7.5,,2023,Privada,0,0.0,1
RA-1006,8.502,8.4444444445,7.51,5.0,7.5,5.0,7.040088888900001,ALFA,Ametista,9.0,Feminino,,7.5,EM Pedro Antonio de Almeida,2024,Privada,1,-3.6999999999999993,0
RA-1007,9.0,7.4,7.52,8.3,7.68,10.0,8.0782,ALFA,Topázio,,Masculino,,7.5,,2023,Privada,0,0.0,1
RA-1008,9.0,8.6,7.52,8.4,7.5,10.0,8.13595,ALFA,Topázio,8.0,Masculino,,5.9375,,2023,Privada,0,0.0,1
RA-1008,7.002,6.483957219,7.51,7.0,7.5,5.0,6.8667414438000005,ALFA,Agata,9.0,Masculino,,7.1875,EE Joaquim Mendes Feliz,2024,Pública,1,-1.4000000000000004,0
RA-1009,0.0,9.0,3.77,8.8,7.84,10.0,7.245,ALFA,Ametista,8.0,Masculino,,7.5,,2023,Privada,0,0.0,1
RA-1009,8.002,6.8863636365000005,2.51,7.5,6.553333333,5.0,6.395389393900001,ALFA,Agata,9.0,Masculino,,6.5625,EE Dom Pedro Villas Boas de Souza,2024,Pública,1,-1.3000000000000007,0
RA-101,7.9,8.3,7.5,7.6,6.833,5.0,7.305,4,,15.0,Feminino,Não,,,2022,Privada,1,0.0,1
RA-1010,9.5,10.0,3.77,9.4,8.59,10.0,8.70645,ALFA,Topázio,8.0,Masculino,,7.8125,,2023,Privada,0,0.0,1
RA-1011,9.5,8.6,3.77,5.2,7.675,10.0,7.33095,ALFA,Ametista,,Masculino,,7.1875,,2023,Privada,0,0.0,1
RA-1012,10.0,9.9,3.77,6.6,7.845,10.0,7.96495,ALFA,Ametista,8.0,Feminino,,7.1875,,2023,Privada,0,0.0,1
RA-1012,9.502,9.523809524,2.51,9.75,8.443333333,5.0,8.057128571400002,ALFA,Topázio,9.0,Feminino,,8.125,EE Joaquim Mendes Feliz,2024,Pública,1,3.1500000000000004,0
RA-1013,9.0,9.6,4.39,8.3,5.76,10.0,7.6237,ALFA,Ametista,7.0,Masculino,,5.625,,2023,Privada,0,0.0,1
RA-1013,9.002,5.6937799039999994,2.51,7.75,4.72,5.0,5.7839559808,ALFA,Quartzo,8.0,Masculino,,5.0,EE Dom Pedro Villas Boas de Souza,2024,Pública,1,-0.5500000000000007,0
RA-1014,9.0,9.7,3.77,8.2,8.255,10.0,8.2582,ALFA,Topázio,,Feminino,,7.5,,2023,Privada,0,0.0,1
RA-1014,8.502,7.8863636365000005,2.51,5.25,7.0,5.0,6.315972727300001,ALFA,Agata,8.0,Feminino,,6.875,EE Dom Pedro Villas Boas de Souza,2024,Pública,1,-2.9499999999999993,0
RA-1015,10.0,9.3,6.27,6.3,7.786666667,5.0,7.538908333,FASE 1,Ametista,10.0,Feminino,,7.34375,,2023,Privada,1,0.0,1
RA-1015,7.918,7.8214285715,7.51,4.0,5.66,10.0,6.643252381000002,2B,Agata,11.0,Feminino,,6.041666667,EE Alexandre Rodrigues Nogueira,2024,Pública,0,-2.3,0
RA-1016,10.0,9.5,7.52,6.7,7.73,5.0,7.762575,FASE 1,Ametista,10.0,Feminino,,7.34375,,2023,Privada,1,0.0,1
RA-1017,0.0,8.0,5.02,7.7,8.116666667,5.0,6.505333333,FASE 1,Agata,,Masculino,,7.5,,2023,Privada,1,0.0,1
RA-1017,9.502,7.8095238095,6.26,5.0,7.443333333,10.0,7.345521428500001,2C,Ametista,12.0,Masculino,,7.1875,EE João Ortiz Rodrigues,2024,Pública,0,-2.7,0
RA-1018,0.0,8.5,5.02,6.3,8.06,10.0,6.824,FASE 1,Agata,,Masculino,,7.5,,2023,Privada,0,0.0,1
RA-1018,8.502,7.727272727,6.26,8.25,8.45,5.0,7.7054045454,1A,Ametista,10.0,Masculino,,8.4375,EE Dom Pedro Villas Boas de Souza,2024,Pública,1,1.9500000000000002,0
RA-1019,7.5,9.1,5.02,4.3,7.836666667,10.0,7.177033333,FASE 1,Ametista,8.0,Feminino,,6.875,,2023,Privada,0,0.0,1
RA-1019,9.502,9.3073593075,6.26,8.75,8.616666667,10.0,8.692255194900001,1A,Topázio,9.0,Feminino,,7.8125,EM Etelvina Delfim Simões,2024,Privada,0,4.45,0
RA-102,6.7,7.7,6.9,5.7,6.0,10.0,6.922,4,Ametista,14.0,Masculino,Não,,,2022,Privada,0,0.0,1
RA-1020,10.0,9.1,2.52,6.1,8.056666667,10.0,7.612283333,FASE 1,Ametista,9.0,Feminino,,7.1875,,2023,Privada,0,0.0,1
